vendor,game_state,score,game_time,market,created_ts,oddSeq,h,a,d,k,ov,ud
vendorA,prematch,,,1x2,2020-07-28T05:08:13,0,1.57,3.75,4.05,,,
vendorA,prematch,,,1x2,2020-07-28T05:08:14,0,1.57,3.75,4.05,,,
vendorA,prematch,,,1x2,2020-07-28T05:19:03,0,1.57,3.75,4.05,,,
vendorA,prematch,,,1x2,2020-07-28T05:49:11,0,1.61,3.50,4.15,,,
vendorA,prematch,,,1x2,2020-07-28T05:49:12,0,1.61,3.50,4.15,,,
vendorA,prematch,,,1x2,2020-07-28T05:50:11,0,1.61,3.50,4.15,,,
vendorA,prematch,,,1x2,2020-07-28T05:50:13,0,1.61,3.50,4.15,,,
vendorA,prematch,,,1x2,2020-07-28T05:51:11,0,1.61,3.50,4.15,,,
vendorA,prematch,,,1x2,2020-07-28T05:51:13,0,1.61,3.50,4.15,,,
vendorA,prematch,,,1x2,2020-07-28T05:52:12,0,1.61,3.50,4.15,,,
vendorA,prematch,,,1x2,2020-07-28T05:52:14,0,1.61,3.50,4.15,,,
vendorA,prematch,,,1x2,2020-07-28T05:53:11,0,1.61,3.50,4.15,,,
vendorA,prematch,,,1x2,2020-07-28T05:53:13,0,1.61,3.50,4.15,,,
vendorA,prematch,,,1x2,2020-07-28T05:54:11,0,1.61,3.50,4.15,,,
vendorA,prematch,,,1x2,2020-07-28T05:54:13,0,1.61,3.50,4.15,,,
vendorA,prematch,,,1x2,2020-07-28T05:55:14,0,1.61,3.50,4.15,,,
vendorA,prematch,,,1x2,2020-07-28T05:55:16,0,1.61,3.50,4.15,,,
vendorA,prematch,,,1x2,2020-07-28T05:55:24,0,1.61,3.50,4.15,,,
vendorA,prematch,,,1x2,2020-07-28T05:59:03,0,1.61,3.50,4.15,,,
vendorA,prematch,,,1x2,2020-07-28T06:07:13,0,1.72,3.30,3.80,,,
vendorA,prematch,,,1x2,2020-07-28T06:07:14,0,1.72,3.30,3.80,,,
vendorA,prematch,,,1x2,2020-07-28T06:08:11,0,1.72,3.30,3.80,,,
vendorA,prematch,,,1x2,2020-07-28T06:08:12,0,1.72,3.30,3.80,,,
vendorA,prematch,,,1x2,2020-07-28T06:09:11,0,1.72,3.30,3.80,,,
vendorA,prematch,,,1x2,2020-07-28T06:09:12,0,1.72,3.30,3.80,,,
vendorA,prematch,,,1x2,2020-07-28T06:10:12,0,1.72,3.30,3.80,,,
vendorA,prematch,,,1x2,2020-07-28T06:10:14,0,1.72,3.30,3.80,,,
